Model,MAE,RMSE,sMAPE
SVR,14.177609065606509,19.566126281738164,10.610668161333074
XGBoost,15.038832751803932,20.913582963091407,10.978953682039224
MLP,14.423038543270138,19.294788271504434,11.015722201058455
RF,15.99500483596337,21.11620883895371,12.0310514330739
LGBM,16.886111603463547,21.307159027619523,12.423963835282265
SARIMA,16.438536781779565,20.589158462929564,12.48999195289257
Naive,18.93298611111111,23.256521422988364,14.50178193855761
Transformer,25.410294373750556,31.211973517133124,17.94533638610803
