path,file_mtime,model,task,market,strategy,gate,retrain,features,crosslag_mode,crosslag_gap,horizon,stride,test_start,test_end,n_hours,mae,rmse,smape
runs/p2_out/ablation_mlp_q1/mlp_price_dam_recursive_lags-calendar.json,2026-07-04 07:26,mlp_price_dam_recursive_lags-calendar,price,dam,recursive,strict,static,calendar+lags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,18.9107,27.1816,27.3703
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_default-genlags.json,2026-07-04 07:03,xgb_price_dam_recursive_default-genlags,price,dam,recursive,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+loadlags+other,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,16.2264,22.4162,39.2619
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_default-loadfc.json,2026-07-04 07:01,xgb_price_dam_recursive_default-loadfc,price,dam,recursive,strict,static,calendar+lags+roll+resfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,14.7261,21.0501,37.699
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_default-loadlags.json,2026-07-04 07:04,xgb_price_dam_recursive_default-loadlags,price,dam,recursive,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+other,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,15.4473,21.6362,38.3746
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_default-resfc.json,2026-07-04 07:00,xgb_price_dam_recursive_default-resfc,price,dam,recursive,strict,static,calendar+lags+roll+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,16.2442,22.9767,39.0675
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_default.json,2026-07-04 06:58,xgb_price_dam_recursive_default,price,dam,recursive,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,15.0259,21.2877,38.079
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_lags-calendar-genlags.json,2026-07-04 07:06,xgb_price_dam_recursive_lags-calendar-genlags,price,dam,recursive,strict,static,calendar+lags+genlags,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,16.2941,23.5827,39.0271
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_lags-calendar-resfc-genlags.json,2026-07-04 07:08,xgb_price_dam_recursive_lags-calendar-resfc-genlags,price,dam,recursive,strict,static,calendar+lags+resfc+genlags,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,15.1467,21.8836,38.0134
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_lags-calendar-resfc-loadfc.json,2026-07-04 07:07,xgb_price_dam_recursive_lags-calendar-resfc-loadfc,price,dam,recursive,strict,static,calendar+lags+resfc+loadfc,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,14.7037,21.4718,37.717
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_lags-calendar-resfc.json,2026-07-04 07:06,xgb_price_dam_recursive_lags-calendar-resfc,price,dam,recursive,strict,static,calendar+lags+resfc,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,15.1294,22.3702,38.0193
runs/p2_out/ablation_xgb_summer/xgb_price_dam_recursive_lags-calendar.json,2026-07-04 07:05,xgb_price_dam_recursive_lags-calendar,price,dam,recursive,strict,static,calendar+lags,,,24,24,2025-06-01T00:00:00,2025-08-31T23:00:00,2208,17.1991,25.0041,40.6892
runs/p3_out/ensemble_weekly_lgbm_xgb.json,2026-07-04 07:40,ensemble_mean,price,dam,ensemble,strict,weekly,,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,15.023,22.0185,24.0731
