config,algo,task,market,strategy,retrain,gate,horizon,stride,unit,MAE,RMSE,sMAPE,n,seconds
lgbm_price_dam_tf_static,lgbm,price,dam,tf,static,strict,24,24,€/MWh,11.0146,16.3552,20.8768,2160,10.2
lgbm_load_dam_tf_static,lgbm,load,dam,tf,static,strict,24,24,MW,73.5385,96.0622,1.2492,2160,10.7
