config,algo,task,market,strategy,retrain,gate,horizon,stride,unit,MAE,RMSE,sMAPE,n,seconds
lgbm_load_dam_recursive_static,lgbm,load,dam,recursive,static,strict,24,24,MW,132.0611,170.6394,2.2485,2160,88.2
lgbm_load_dam_direct_static,lgbm,load,dam,direct,static,strict,24,24,MW,259.2457,374.7643,4.3516,2160,826.5
