block,run,mae,retrain,strategy,task,n_hours,window,algo,mode,spec,seed,note
c_load,q1_xgb_dir_default_dense,272.03263050925926,static,direct,load,2160,q1,xgb,dir,default_dense,,
c_load,q1_xgb_dir_default_nogenlags_noloadlags,242.48077791666665,static,direct,load,2160,q1,xgb,dir,default_nogenlags_noloadlags,,
c_load,q1_xgb_dir_default_noloadfc,344.0680932407408,static,direct,load,2160,q1,xgb,dir,default_noloadfc,,
c_load,q1_xgb_dir_default_noloadlags,253.82705999999996,static,direct,load,2160,q1,xgb,dir,default_noloadlags,,
c_load,q1_xgb_dir_default_nometeo,385.46818569444446,static,direct,load,2160,q1,xgb,dir,default_nometeo,,
c_load,q1_xgb_dir_lags_calendar_loadfc,286.3942860648148,static,direct,load,2160,q1,xgb,dir,lags_calendar_loadfc,,
c_load,q1_xgb_rec_default,197.05180981481482,static,recursive,load,2160,q1,xgb,rec,default,,
c_load,q1_xgb_rec_default_dense,195.77686259259258,static,recursive,load,2160,q1,xgb,rec,default_dense,,
c_load,q1_xgb_rec_default_nogenlags_noloadlags,191.8754811111111,static,recursive,load,2160,q1,xgb,rec,default_nogenlags_noloadlags,,
c_load,q1_xgb_rec_default_noloadfc,197.05180981481482,static,recursive,load,2160,q1,xgb,rec,default_noloadfc,,
c_load,q1_xgb_rec_default_noloadlags,187.20966518518517,static,recursive,load,2160,q1,xgb,rec,default_noloadlags,,
c_load,q1_xgb_rec_default_nometeo,298.6948369907408,static,recursive,load,2160,q1,xgb,rec,default_nometeo,,
c_load,q1_xgb_rec_lags_calendar_loadfc,256.89715916666665,static,recursive,load,2160,q1,xgb,rec,lags_calendar_loadfc,,
c_load,summer_lgbm_dir_default,328.3283653985508,static,direct,load,2208,summer,lgbm,dir,default,,
c_load,summer_lgbm_dir_default_dense,317.7601430706522,static,direct,load,2208,summer,lgbm,dir,default_dense,,
c_load,summer_lgbm_dir_default_nogenlags_noloadlags,355.03665335144933,static,direct,load,2208,summer,lgbm,dir,default_nogenlags_noloadlags,,
c_load,summer_lgbm_dir_default_noloadfc,328.3283653985508,static,direct,load,2208,summer,lgbm,dir,default_noloadfc,,
c_load,summer_lgbm_dir_default_noloadlags,341.389812182971,static,direct,load,2208,summer,lgbm,dir,default_noloadlags,,
c_load,summer_lgbm_dir_default_nometeo,341.7510329710145,static,direct,load,2208,summer,lgbm,dir,default_nometeo,,
c_load,summer_lgbm_dir_lags_calendar_loadfc,303.30379714673916,static,direct,load,2208,summer,lgbm,dir,lags_calendar_loadfc,,
