feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF (two-stage),MIMO — XGB Dense,OL — LGBM Daily-Opt,OL — XGB Dense+SS,avg
y_lag1,Price lag,0.882565187824128,0.11198068536724289,0.6328775562595927,0.0135,0.010078705223323521,0.048702096362954604,0.08865214676329783,0.1276474687518414,0.23950048081904762
y_roll24,Price rolling,0.0021177026659712876,0.057556615326465166,0.006101278279558126,0.014016129032258065,0.5157521249229811,0.0027319224572239617,0.0208526501031279,0.13987661421074749,0.09487562962479162
y_lag24,Price lag,0.04773935877949007,0.08480450416960218,0.05458189643502305,0.008695564516129033,0.0011261759762426638,0.010125375920749826,0.04654947300698242,0.18505477755414362,0.05483464079479535
y_lag2,Price lag,0.0032862557888446143,0.08438663051115407,0.018760467861846174,0.0098252688172043,0.003076977374299861,0.0284704277814546,0.051904554657785686,0.0630229235636229,0.03284168829452652
y_roll168,Price rolling,0.0011601792272291044,0.039768507679303566,0.0031017596661445483,0.01929301075268817,0.165524535333601,0.009801568140217841,0.013718848752057828,0.0030480995653545183,0.03192706363957457
y_lag168,Price lag,0.005584128116575787,0.05231907114832767,0.050946620509924066,0.010768145161290323,0.0007241741394829876,0.0038875158482121644,0.03799648040569947,0.040293398437501224,0.02531494172087671
y_lag48,Price lag,0.0026272331685053716,0.06333129840412817,0.007711707689946402,0.010756048387096774,0.0007507348945069052,0.0054278309282599765,0.026888943554033342,0.0545553381019551,0.021506141891054004
y_lag23,Price lag (intraday dense),0.0,0.0,0.0,0.008221102150537634,0.0,0.0202140447815571,0.0,0.12026723600240125,0.018587797866812
gas_lag168,Gas price lag,0.0009732945116051118,0.04719623585533089,0.004241907754551046,0.014886424731182797,0.04598458330553848,0.004545586591519289,0.018752247052812837,0.005233679345809245,0.017726744893543714
y_lag3,Price lag,0.0018771002607644988,0.032030921129405816,0.0023985867106604943,0.009384408602150538,0.0030288663340246992,0.029061640624638247,0.027002478854050372,0.008827097421926212,0.014201387492202608
gas_lag48,Gas price lag,0.0017476591098456497,0.03315522713488755,0.0034731180047302304,0.011071908602150538,0.01569927235800789,0.007444185120676499,0.012829488901924424,0.0019928879616578836,0.010926718399235083
gas_price,Gas price lag,0.0008528091618679852,0.02938411394029653,0.0015250762618792201,0.010346774193548387,0.02576384783456105,0.005409843024853099,0.009139591651370939,0.003338934629833641,0.010720123837276357
gas_lag24,Gas price lag,0.0006902850673012414,0.03522818364242534,0.004936693917844269,0.008837365591397849,0.0018715669251593563,0.014971991559447957,0.01158060060173709,0.0030432941733521163,0.010144997684833155
y_lag6,Price lag,0.001008664598412696,0.014208895928685718,0.001653333925831412,0.009203629032258064,0.005427214946472023,0.03267730694008149,0.014929891952239484,0.001116334541526114,0.010028158983188375
y_lag12,Price lag,0.0013340406759326606,0.014225502557433219,0.002322391023733781,0.008733198924731183,0.0045222224700378595,0.022894523590386382,0.0208526501031279,0.0018540809575317097,0.009592326287864337
hour_sin,Calendar / Time,0.002394238776297778,0.0042816360111225275,0.008399108931257759,0.005225134408602151,0.017338179413104466,0.007566868988083157,0.026283421953942513,0.0038948464699882735,0.009422929369049827
gas_lag2,Gas price lag,0.0001011137903821067,0.028767508995905647,0.008094504997476187,0.0020376344086021504,0.00871044620863138,0.016234369337360645,0.005241546350786232,0.005224826658435083,0.009301493843447427
gas_lag6,Gas price lag,0.0001747053892026823,0.028808549178031502,0.005153127685301706,0.003504032258064516,0.014494679339965748,0.013504262755395652,0.0056767650008515145,0.0027685232602953367,0.009260580608388582
gas_lag12,Gas price lag,0.00047752443963218,0.03555187449950777,0.004944580357007198,0.005720430107526882,0.007647784176644038,0.009230105417938976,0.006339054250950858,0.001490042885648195,0.008925174516857013
gas_lag1,Gas price lag,0.0003150823832708175,0.026468186740702542,0.005280737498020702,0.003502688172043011,0.012873618802703927,0.011837197396574324,0.004711714950706757,0.005619344242840835,0.008826071273357864
